AGNT_EMP_NO,HIRE_DT,PARTNER,SITE_DESC,LOCATION,NO_DAYS_AFTER_HIRE,FLAG_ATTRITION,PASS_FAIL,Month1Diff,Month2Diff,Month3Diff,Month4Diff,Month5Diff,Month6Diff,Month7Diff,Month8Diff,Month9Diff,Month10Diff,Month11Diff,Month12Diff,LockDiff,RESULTS,LOB,PF_SEGMENT_QUARTILE1,PF_SEGMENT_QUARTILE2,PF_SEGMENT_QUARTILE3,PF_SEGMENT_QUARTILE4,PF_SEGMENT_QUARTILE5,PF_SEGMENT_QUARTILE6,PF_SEGMENT_QUARTILE7,PF_SEGMENT_QUARTILE8,PF_SEGMENT_QUARTILE9,PF_SEGMENT_QUARTILE10,PF_SEGMENT_QUARTILE11,PF_SEGMENT_QUARTILE12,ABT_AHT1,ABT_AHT2,ABT_AHT3,ABT_AHT4,ABT_AHT5,ABT_AHT6,ABT_AHT7,ABT_AHT8,ABT_AHT9,ABT_AHT10,ABT_AHT11,ABT_AHT12,FCR71,FCR72,FCR73,FCR74,FCR75,FCR76,FCR77,FCR78,FCR79,FCR710,FCR711,FCR712,SR_60D1,SR_60D2,SR_60D3,SR_60D4,SR_60D5,SR_60D6,SR_60D7,SR_60D8,SR_60D9,SR_60D10,SR_60D11,SR_60D12,AGNT_SEGMENT_NM_Month_1,AGNT_SEGMENT_NM_Month_2,AGNT_SEGMENT_NM_Month_3,AGNT_SEGMENT_NM_Month_4,AGNT_SEGMENT_NM_Month_5,AGNT_SEGMENT_NM_Month_6,AGNT_SEGMENT_NM_Month_7,AGNT_SEGMENT_NM_Month_8,AGNT_SEGMENT_NM_Month_9,AGNT_SEGMENT_NM_Month_10,AGNT_SEGMENT_NM_Month_11,AGNT_SEGMENT_NM_Month_12,AGNT_SEGMENT_NM_Month_13,DEPT_NM_Month_1,DEPT_NM_Month_2,DEPT_NM_Month_3,DEPT_NM_Month_4,DEPT_NM_Month_5,DEPT_NM_Month_6,DEPT_NM_Month_7,DEPT_NM_Month_8,DEPT_NM_Month_9,DEPT_NM_Month_10,DEPT_NM_Month_11,DEPT_NM_Month_12,DEPT_NM_Month_13
6090252,02-May-17,Bell Canada,Wynford,ONSHORE,0,0,PASS,-91,-63,-32,-2,29,59,90,121,151,182,212,243,-1,RECOMMENDED WITH RESERVATION,BRS,,,,,4,4,1,,,,,,,,,,1058.753086,1327.964285,1120.5,,,,,,,,,,0.493671,0.370371,0.7,,,,,,,,,,,,,,,,,,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,Care,Care,Care,Care,Care,Care,Care,Care
6090256,02-May-17,Bell Canada,Wynford,ONSHORE,0,0,PASS,-91,-63,-32,-2,29,59,90,121,151,182,212,243,-1,RECOMMENDED,BRS,,,,,4,4,2,,,,,,,,,,953.131578,582.270833,449.045454,,,,,,,,,,0.493151,0.531915,0.5,,,,,,,,,,,,,,,,,,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,Care,Care,Care,Care,Care,Care,Care,Care
6090269,02-May-17,Bell Canada,Wynford,ONSHORE,0,0,PASS,-91,-63,-32,-2,29,59,90,121,151,182,212,243,-1,RECOMMENDED WITH RESERVATION,BRS,,,,,4,4,4,,,,,,,,,,1184.12987,878.925,607.266666,,,,,,,,,,0.48052,0.425,0.333334,,,,,,,,,,,,,,,,,,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,Care,Care,Care,Care,Care,Care,Care,Care
6090274,02-May-17,Bell Canada,Wynford,ONSHORE,0,0,PASS,-91,-63,-32,-2,29,59,90,121,151,182,212,243,-1,RECOMMENDED,BRS,,,,,4,4,4,,,,,,,,,,1066.278481,808.071428,1017.692307,,,,,,,,,,0.623377,0.444445,0.538462,,,,,,,,,,,,,,,,,,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,Care,Care,Care,Care,Care,Care,Care,Care
6090508,23-May-17,Bell Canada,Borough,ONSHORE,118,1,FAIL,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,NOT RECOMMENDED,BRS,,,,,,4,2,3,4,,,,,,,,,,,,,,,,,,,,,0.647059,0.52765,0.47506,0.4,,,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,,,,
6090698,23-May-17,Bell Canada,Borough,ONSHORE,0,0,FAIL,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,NOT RECOMMENDED,BRS,,,,,,2,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,0.522168,0.510122,0.493828,0.513239,0.585035,0.585242,0.557523,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090704,23-May-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,RECOMMENDED WITH RESERVATION,BRS,,,,,,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,0.631579,0.40176,0.440415,0.478261,0.540541,0.632654,0.594697,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090705,23-May-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,RECOMMENDED WITH RESERVATION,BRS,,,,,,4,4,4,4,2,3,2,,,,,,,,,,,,,,,,,,0.478495,0.520349,0.5,0.514451,0.58632,0.64898,0.649607,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090706,23-May-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,RECOMMENDED,BRS,,,,,,4,3,2,3,3,2,3,,,,,,,,,,,,,,,,,,0.446512,0.548129,0.639014,0.532674,0.566372,0.693468,0.557078,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090707,23-May-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,STRONGLY RECOMMENDED,BRS,,,,,,4,2,3,2,2,2,1,,,,,,,,,,,,,,,,,,0.5,0.529412,0.511112,0.55372,0.661972,0.647197,0.633987,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090708,23-May-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,STRONGLY RECOMMENDED,BRS,,,,,,4,4,4,4,3,2,4,,,,,,,,,,,,,,,,,,0.56383,0.561644,0.539569,0.506528,0.563334,0.60581,0.555922,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090710,23-May-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,STRONGLY RECOMMENDED,BRS,,,,,,3,4,3,4,,,,,,,,,,,,,,,,,,,,,0.493903,0.585508,0.63142,0.60145,,,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090712,23-May-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,RECOMMENDED WITH RESERVATION,BRS,,,,,,4,1,1,3,3,2,3,,,,,,,,,,,,,,,,,,0.557693,0.569621,0.578254,0.42174,0.497006,0.450382,0.605578,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090713,23-May-17,Bell Canada,Borough,ONSHORE,56,1,FAIL,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,NOT RECOMMENDED,BRS,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,0.4,0.461884,,,,,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,,,,,,,,,,,,Sales Inbound,Sales Inbound,,,,,,
6090714,23-May-17,Bell Canada,Borough,ONSHORE,142,1,FAIL,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,NOT RECOMMENDED,BRS,,,,,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,0.458763,0.509696,0.512196,0.494062,0.467214,,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,,,
6090716,23-May-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,RECOMMENDED WITH RESERVATION,BRS,,,,,,4,3,3,4,3,4,4,,,,,,,,,,,,,,,,,,0.45055,0.51,0.486548,0.486598,0.502794,0.495653,0.482457,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090717,23-May-17,Bell Canada,Borough,ONSHORE,0,0,FAIL,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,NOT RECOMMENDED,BRS,,,,,,4,3,4,4,4,4,4,,,,,,,,,,,,,,,,,,0.528302,0.50132,0.490798,0.538044,0.496269,0.48035,0.538746,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090740,23-May-17,Bell Canada,Borough,ONSHORE,109,1,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,-22,STRONGLY RECOMMENDED,BRS,,,,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,0.424391,0.44012,0.428206,0.5,,,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,,,,
6091038,12-Jun-17,Bell Canada,Borough,ONSHORE,61,1,FAIL,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,NOT RECOMMENDED,BRS,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,0.524823,0.43976,,,,,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,,,,,,,,,,,,Sales Inbound,Sales Inbound,,,,,
6091039,12-Jun-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,RECOMMENDED WITH RESERVATION,BRS,,,,,,,4,3,3,1,2,2,,,,,,,,,,,,,,,,,,,0.471761,0.52683,0.517858,0.624698,0.577879,0.572675,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6091040,12-Jun-17,Bell Canada,Borough,ONSHORE,33,1,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,STRONGLY RECOMMENDED,BRS,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,0.601563,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales,,,,,,,,,,,,,Sales Inbound,,,,,,
6091041,12-Jun-17,Bell Canada,Borough,ONSHORE,143,1,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,RECOMMENDED,BRS,,,,,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,0.486726,0.503254,0.538153,0.569537,,,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,,
6091042,12-Jun-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,RECOMMENDED,BRS,,,,,,,4,3,4,4,4,4,,,,,,,,,,,,,,,,,,,0.466877,0.491667,0.485194,0.522152,0.477664,0.509434,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6091043,12-Jun-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,STRONGLY RECOMMENDED,BRS,,,,,,,4,4,3,4,4,4,,,,,,,,,,,,,,,,,,,0.484508,0.482916,0.486487,0.541255,0.501619,0.59127,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6091045,12-Jun-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,RECOMMENDED WITH RESERVATION,BRS,,,,,,,4,3,4,3,3,4,,,,,,,,,,,,,,,,,,,0.489656,0.545455,0.521622,0.518073,0.53681,0.529645,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6091046,12-Jun-17,Bell Canada,Borough,ONSHORE,148,1,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,STRONGLY RECOMMENDED,BRS,,,,,,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,0.402899,0.479109,0.458798,0.604585,0.5,,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,,
6091047,12-Jun-17,Bell Canada,Borough,ONSHORE,64,1,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,RECOMMENDED,BRS,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,0.488216,0.431953,,,,,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,,,,,,,,,,,,Sales Inbound,Sales Inbound,,,,,
6091048,12-Jun-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,RECOMMENDED WITH RESERVATION,BRS,,,,,,,4,4,4,3,4,3,,,,,,,,,,,,,,,,,,,0.468865,0.49394,0.488449,0.562754,0.547946,0.553399,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6091049,12-Jun-17,Bell Canada,Borough,ONSHORE,38,1,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,STRONGLY RECOMMENDED,BRS,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,0.470931,,,,,,,,,,,,,,,,,,,,,,,,BRS Sales,,,,,,,,,,,,,Sales Inbound,,,,,,
6091050,12-Jun-17,Bell Canada,Borough,ONSHORE,142,1,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,RECOMMENDED,BRS,,,,,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,0.464913,0.479382,0.52513,0.566832,,,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,,
6091052,12-Jun-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,STRONGLY RECOMMENDED,BRS,,,,,,,3,4,2,2,2,3,,,,,,,,,,,,,,,,,,,0.478874,0.484616,0.590779,0.612378,0.616725,0.575439,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6091100,12-Jun-17,Bell Canada,Borough,ONSHORE,0,0,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,-42,RECOMMENDED,BRS,,,,,,,2,1,1,1,2,1,,,,,,,,,,,,,,,,,,,0.594891,0.582835,0.585922,0.644231,0.649374,0.612049,,,,,,,,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6092562,30-Oct-17,Bell Canada,Aliant - Moncton,ONSHORE,0,0,PASS,-272,-244,-213,-183,-152,-122,-91,-60,-30,1,31,62,-182,STRONGLY RECOMMENDED,SB,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlantic - SB,Atlantic - SB,Atlantic - SB,,,,,,,,,,,Care,Care,Care
6092568,01-Oct-17,,5099CREEK,ONSHORE,0,0,PASS,-243,-215,-184,-154,-123,-93,-62,-31,-1,30,60,91,-153,RECOMMENDED WITH RESERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Business,Small Business,Small Business,,,,,,,,,,,Business Care,Business Care,Business Care
